provinsi;I-01_BB;I-02_BB;I-03_BB;I-04_BB;I-05_BB;I-06_BB;I-07_BB;I-08_BB;I-09_BB;I-10_BB;I-11_BB;I-12_BB;I-13_BB;I-14_BB;I-15_BB;I-16_BB;I-17_BB;I-18_BB;I-19_BB;I-20_BB;I-21_BB;I-22_BB;I-23_BB;I-24_BB;I-25_BB;I-26_BB;I-27_BB;I-28_BB;I-29_BB;I-30_BB;I-31_BB;I-32_BB;I-33_BB;I-34_BB;I-35_BB;I-36_BB;I-37_BB;I-38_BB;I-39_BB;I-40_BB;I-41_BB;I-42_BB;I-43_BB;I-44_BB;I-45_BB;I-46_BB;I-47_BB;I-48_BB;I-49_BB;I-50_BB;I-51_BB;I-52_BB
Aceh;2973.6785343367933;967.7539745492667;4239.110226942071;48.4062635657108;413.15670080753085;496.79756696826996;422.14942097366617;1559.234726375712;8.709350832934561;318.3516547754853;692.3294295069388;0.0;1782.338785572102;4.316343549844397;13.792543482463415;3.5530797792184856;152.93761470550987;108.00539363160922;59.34643608557555;0.45128593826552527;448.32434968898474;0.0;127.87753139301887;0.08929551220757828;0.7708101947982706;21.478277755643184;23.77239221544946;253.63168737745045;29.684422211368233;37.79674946271698;13.407659308470723;370.95135622316695;1870.4968548349768;0.0;740.1195083106559;164.71881503962365;85.43933229545152;76.99739651270083;58.55304268732658;120.06855329315071;63.73861612250502;206.1916150391763;368.1843016409258;11.821748363909435;63.48995813113742;18.999145241702553;55.17413508452037;352.00339683793095;0.0;1.2229570735589161;44.32620474248991;152.08668807380707
Bali;16.891743622750113;179.7738253377886;542.2877554616256;510.1428753263469;0.0;0.0;31.009622530260373;0.0;0.0;0.0;269.3267051976296;0.0;69.88790892610669;7.324500282202023;213.20173611268666;64.31099783316478;532.3243980850253;93.64624065254091;26.71612485869983;6.274642154350534;134.81058865990235;0.0;27.91360189560856;0.10806851842168916;3.8525526503340357;5.623803985875572;441.09387607651416;0.016498569272882208;2.887532506276232;32.16563422089419;0.5751204386507944;1561.7930049736851;866.8999413871636;0.0;674.2392947314746;5.459797390633934;254.83567067813877;4883.6706911733745;513.188253671598;5629.298058938861;282.9608356025467;161.85924369431925;535.8684361327859;25.16754065181917;101.68640094290754;4.649179033300363;370.50589193662745;192.99548523085198;3.1688286515887274;7.6562055938080436;79.15040087981608;263.71822549204256
Banten;687.521791334084;23.734844058935238;202.27255874772982;770.8317114313998;7.713646296575024;7.0645071909584125;177.02498951676895;1.5318231454663358;1.2814791900071045;188.0661439613427;0.8912736093399467;226.30226004561953;2200.4984037528498;0.0;923.1381691878778;377.1493007946319;101.67530119527055;14011.607764844992;16813.745878693768;11742.97278655307;2226.6966283303886;17672.925115757447;23219.417221521224;1590.3499882823628;285.5091241973031;126.22462416196261;1372.6775456128898;25044.07613248622;499.2691680062966;161.30817733826154;72.46111977109862;4399.191803742912;9549.117517935532;271.0415359994523;7942.979872332595;60.35839580789959;1384.8017170482633;20037.468550547317;2381.182839180845;382.4743113113538;274.1066390155102;1902.9704938104028;708.8476150356054;158.43296355095885;363.38261694146235;404.55822044400156;7742.19168898423;1807.6139403199622;277.2561811458096;145.83685545719706;299.86823442161136;225.09303331015985
Bengkulu;253.74255565395399;613.8683471854531;3397.2406136641803;237.6550186477681;388.0580261102642;8.366720053236225;441.7777872888533;0.0;1171.2291146693567;6.587881586114389;1313.2339923738878;0.0;585.0597224863008;0.0;3.4477449135647755;3.447037354220172;13.202312438749457;34.213403398271794;0.0032437468863411242;70.31460591598156;0.5494281082065159;0.16511585494929337;8.340942172753257;0.0;4.894900223643217;40.32079287957378;12.661550696022903;53.43838707494798;0.0;11.247420282905725;34.658590555794035;174.52325758861411;795.5057695766673;0.0;603.427952974213;184.72640056647444;44.04226918552314;76.89557611301275;83.080296591876;57.625055984157925;45.88660531748184;5.125725528522498;529.4818997894847;0.0;0.03656984135252389;1.4252237927602325;6.547900614881523;2.4634467225060823;12.994629564183793;2.263117744357861;2.0136809611429904;91.92967830202521
DI Yogyakarta;848.8361699563172;86.60742968941832;282.3650302713314;28.020166004362693;250.3613532128934;418.2797686016701;1.6460681924279164;0.0;0.0;0.16049999998407305;68.08507740073064;122.03501166998694;473.8006654216997;0.7153136495166048;194.66036236047225;53.208824722698886;291.41655504249303;309.6238301946266;218.89913143053997;153.35766795042235;721.0879606296862;0.0;468.496638105851;5.508657404383674;37.22468615351118;142.56401437984465;384.6208448853006;256.60623454125454;2.842536450541486;38.73201768480417;27.438817893083847;302.56783648627174;761.4147164745392;385.44796614040376;1821.7503707823648;0.0;0.00013784068732593818;1269.8993749123365;1109.3708217493383;2339.833968910812;975.7625834501056;1769.525741084913;1101.38626200249;62.6748859872435;173.01144039402567;121.74052182248653;278.77854460389176;2128.085877557829;14.918201886548834;147.06944639303546;239.33503754278692;255.24337258239854
DKI Jakarta;0.0;0.0;0.0;0.0;8.893680812989;0.0;0.0;1138.4864158244607;0.0;0.0;0.0;1721.9385778420174;7201.753427444693;0.0;8523.96799588426;82.27500334716997;34.381435642664016;4380.837850872033;45313.75896557243;593.5015325245078;1382.047349398535;2080.2985293258084;26184.18890795508;112.45687456085663;22197.043177885487;34.44972021644796;582.3682176745671;1218.3717681798335;1274.9795189343538;0.0;5325.773216372477;8087.677080488553;33615.04534398979;810.9420357684296;14834.72591574055;2876.7301320158617;29.354543781023526;1073.920926688719;17423.898285004023;1516.748578753118;2818.387159173948;30341.512636145988;12923.594506397902;7250.569669572537;7949.369203046546;7792.492160002558;5455.984000151392;66237.62175768038;2746.1537141349477;598.6876887155086;3966.15062828743;6891.228691393111
Gorontalo;810.7801912688736;2.49305282677166;18.238322803278827;5.0201572484321435;18.213050915883805;1.4711433591673304;33.22762360120217;0.0;0.0;80.3016943810473;5.573586329625211;0.0;7.923925549084568;3.4262389613094598e-06;1.3704763829081177;0.00019060688429738384;4.4437578742368595;0.7121320332331718;5.2924065375226945;0.10155688046062886;0.7445315328789115;0.0019964677738854505;0.4237386484764206;0.7852386183596662;1.7005527898115549;5.138743356203374;28.87271657814671;83.28229029833902;6.836217413701495;0.31570118338557823;0.08287009767053291;123.73573309242266;209.6759151895766;0.0;41.76189784926791;19.35532223858887;22.02530849676496;46.753766496096084;54.768781945797066;32.59511965254221;30.87339686729965;4.955626498989048;238.4811338985958;17.930492845396568;35.48341764856808;0.06423377099459404;10.54580066046104;2.445228375586374;33.92073490976222;0.193336321056663;9.060445696344372;4.676597345868088
Jambi;82.60993514540672;267.41026070586486;4538.378309652333;67.8149672744546;25.84043218450234;4178.765168781766;133.46695671455583;3521.4765310449266;5576.111191485984;265.5961519439828;104.74784112022661;1561.636630528376;9530.06047293457;0.00024958087487898946;5.0898069529476935;12.953458001067142;3692.6242929690666;1177.3796555445574;14.672100935274536;1206.6694384581103;15.428781202426187;114.0831798202118;148.62591969375347;0.0;2.285379772203063e-13;0.7492722308682193;0.022654076779147592;1241.5656735934083;0.0;14.830423674376734;1.3398138162994264;872.2711389215459;2528.76272653611;0.0;528.5270925596136;411.2555127170962;159.0786255557847;292.0954921783601;453.0238450275679;374.762547575571;140.76615868306305;657.4912283873836;539.9779578843074;62.54548407497435;157.37719821707347;18.90213644187694;213.8268416575196;58.52957449819473;0.0;1.190420656295252;31.876418662686266;233.38067299551014
Jawa Barat;1987.3814906472185;2009.5415410846329;2352.141834486254;754.8322769009574;195.7802808872136;347.4586905198108;347.77569259712095;1661.942241760853;0.0;256.98882297864657;2022.9142341987001;6593.666070523728;9433.27403572295;3.0682668858345608;5322.217445731205;4235.18104399769;5913.861779725504;1911.9933380143311;5501.25131547525;675.8124395083361;2415.9965808389434;1724.9285708304305;42955.870140649364;21426.61690696973;17745.34850699117;852.0938287687674;4122.830552570909;1085.3112671465085;4691.495805719603;333.9896762512727;143.94511936166646;5745.809759040209;29422.48923140481;344.35056727435875;5535.978969731054;124.50080860817097;0.7293766807969753;750.8036395508971;696.2631794191326;1624.0294842429253;609.8693887110691;1489.952683346007;1459.1198434510823;132.38306373185182;324.11614794037604;200.75331748168705;191.1349021522812;2406.087580080315;147.56268891938143;141.20711747644418;452.4172778959127;1209.177306555993
Jawa Tengah;5777.501245355955;4036.34699930314;4344.890328469974;3894.377228025606;118.08245181785988;41.02817631675468;3.205668499981122;669.1036637884614;0.0;0.0;7517.929205780612;39038.80878088631;17196.120011700117;1135.428061156578;2749.9373509236957;2226.68545917864;2241.0177701216267;94.76248680601765;134.47848216732027;42.160655669128715;7960.780827267713;8.017031812327877;32.90953407974255;23.24150655129199;20.64949731483801;28.010502359623285;1194.4336604542068;14279.360275711371;42.6160683326542;167.7151311210122;396.287207029413;5419.564550042479;13014.629302374326;156.2706262859198;5183.373851446777;1582.7962350418306;111.34081082212721;500.3432769466449;539.0860071320938;1417.4485755897583;802.1107580915841;260.8690752593042;2291.414927549853;75.34339124040993;576.0806315424434;18.395109609338697;981.9316210762566;404.4109476898152;167.7987945893549;87.7547825905189;105.04315425165788;1439.5983670126964
Jawa Timur;11404.753052306152;2842.0215442407853;4216.913810262038;16922.75780040165;217.8695856940937;957.7184402820436;7072.977722173103;45467.08782903959;0.0;175.74848980388765;3744.885682081784;520.6363813621956;36337.53304519232;1130.3606563557967;136.62116882287796;421.80180955105493;17268.94907672282;13110.363772408442;33974.55972624387;18453.064804608908;1462.2264394669496;6007.003522106376;479.54884278749887;382.5504146896773;1811.5910958303052;851.7230357158181;186.88336979720208;851.596231418818;3677.5623731485334;98.67557401399222;19.815367894577808;13628.021600707558;31274.337992198067;251.6047562514261;4813.458583660835;2270.857436845907;310.29933348702514;2428.2286182166945;3513.0720980919423;1484.531132409839;4271.629083987441;10235.056648650027;5326.852934647694;423.8700212553065;1524.1502414704805;943.1159800601345;708.7233256225011;7829.803335272651;4.705718541017319;111.78127629377762;784.9987461430658;2039.7046158819326
Kalimantan Barat;243.66343993960498;11.100676811161865;1228.6342194611923;1153.157263444659;0.0;774.6292282101329;0.0;0.0;3.2543327546312524;1403.378485211685;684.143219750343;0.0;3459.2016140600235;0.0;0.0;0.0;964.0391819439711;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07276902967448295;0.09839174787643068;1057.8381855142661;0.0;64.78174719346245;0.0;1569.1334183547713;1042.1518455132307;0.0;2148.5933444949796;283.0626001975437;296.30262445030866;483.08037225028085;231.8899832788551;423.38761315145285;421.9046114661853;480.32139435939814;696.7046777831096;178.55294366114904;130.7161078476018;0.0;30.04357743302064;9.38690473387962;10.681214618294934;5.327191792358279;13.588815449343192;108.25700099223621
Kalimantan Selatan;398.7595108539851;3.0571742990798776;307.93428599822244;58.513300192947426;104.11420453491351;38.764716863236224;116.59058715592883;768.6653822776285;1414.0818385705206;504.3488946952249;0.06102437159135866;0.0;56.36416395616078;0.0;22.467817010346533;0.20703052236508;21.032233256739854;0.2780275426315561;2.4839441683496815;1821.45502464071;803.1551120308278;0.0;61.3188714172113;5.4414631701271965;1.236941842962877;0.2764939692626373;1.2417291351899604;167.09342665775597;0.0;56.407857921086126;5.052553012526642;356.6994608072645;340.47756811995515;0.0;1243.7460295077206;981.8991224876407;163.01832883316297;38.95005751600684;227.09725178374856;369.2313870411792;19.959784060683486;531.0022205038285;965.9294157857964;153.67446243201238;132.4828200889908;0.24894722175389458;2.6888339544196165;10.549694232589305;0.04630377327236436;1.8269911584708634;3.8386280683004013;43.27524490213322
Kalimantan Tengah;735.8729804335363;0.0;3482.9658507635163;0.0;173.49997012088258;1877.887035004897;5.002018144230135;58.079038899423836;2290.4525521296546;1535.6902997609698;200.2728074121933;0.0;16506.306292492678;0.0;7.538091882691208;0.0;169.95765793342045;0.0;37.6297151506073;153.3659813408208;0.041975349395959795;0.0;0.0;0.0;0.0;14.83683780839741;13.539451885839485;0.0851125939669027;0.0;56.51388055176082;2.3304128212826676;264.23263750604;2469.681890277397;0.0;1032.8694694596852;863.7973456791213;529.7866646189392;224.69549064959764;452.39456764769926;249.42062355403922;125.97888103499818;9.711336299470885;1553.8702523012873;66.60288816007227;166.5659792120898;4.597385347314236;10.753424529392584;20.24842856613961;79.73607604599913;4.682139951418982;5.189302416584431;67.20893829494108
Kalimantan Timur;16.909036793022103;0.030711680872899525;1044.1045781880582;0.0016229472186913884;75.15945617961872;3059.943636769204;771.3293922000856;1087.2073616919938;52000.59025375884;452.1841419663385;1091.923247811013;34208.7143821249;3890.274130910295;0.0;0.6303444227902522;0.0;235.30659957020944;1049.6282432974426;10930.279881948247;8.380502411098519;6.419671643894095;0.0;10.294867651420347;0.07207923163929578;35.56724633916701;2.352370109767888;85.27477886518201;230.45076331519886;0.00025493385913797056;1.356851161223252;15.164123340303862;385.7372592724013;2843.7139254459703;0.0;293.74634268290293;1611.2885869229315;510.71617747762326;586.7918263835653;3711.1383305317086;306.8515228069707;165.06351112107356;1040.6128899437601;1354.5455611046038;200.8625814011569;348.2900801290231;0.0;0.0;224.0027763627007;1.9268612242023362;3.12950769715934;90.53946508255848;107.2999933370586
Kalimantan Utara;4.377520089361555;174.5863834414154;15.527933808496229;0.0;12.16949841148441;1838.0830736527466;1124.6736335033452;1760.4339521842219;2690.215414510529;988.8232783845779;215.38706702598546;0.0;1443.3441188487277;0.0;0.1146125965355169;62.19143708458515;3466.3995769549183;0.0;0.00020973298807359583;0.0;0.0;0.0;0.0;0.0;344.91584460353545;94.96669377363783;0.0;0.19447747392418416;0.3935756788047175;0.5915618070762858;0.0;86.91695783024815;1205.0995704605666;0.0;118.97132497990515;1334.63716155132;44.85093045847064;254.8554302279892;391.16331952255894;128.98541296604125;21.875751553706092;965.9162914113376;264.7488180391649;2.567974968002305;0.012832314542045446;13.303272632390637;0.0;86.96486986050301;0.0;0.4229417579293878;1.0202461721063654;63.1982118612392
